species,min_elevation,max_elevation,range
Abatia parviflora,0,3300,3300
Acalypha cuneata,400,3100,2700
Acalypha diversifolia,800,3700,2900
Acalypha macrostachya,1500,3200,1700
Acalypha stricta,0,2200,2200
Achatocarpus nigricans,1100,1800,700
Adenocalymma aspericarpum,300,1300,1000
Aegiphila alba,0,2800,2800
Aegiphila bogotensis,2200,2800,600
Aegiphila cuatrecasasii,200,1800,1600
Aegiphila integrifolia,1500,3000,1500
Aegiphila laeta,2100,2400,300
Aegiphila panamensis,500,1900,1400
Aequatorium jamesonii,300,1000,700
Ageratina boyacensis,500,800,300
Ageratina glyptophlebia,1500,1600,100
Ageratina popayanensis,2600,3600,1000
Ageratina tinifolia,100,3600,3500
Agouticarpa williamsii,0,2300,2300
Aiouea dubia,1000,3200,2200
Aiphanes hirsuta,1500,1700,200
Aiphanes horrida,0,2400,2400
Aiphanes linearis,200,1000,800
Aiphanes parvifolia,900,900,0
Albizia carbonaria,700,2100,1400
Albizia niopoides,0,1400,1400
Albizia subdimidiata,0,700,700
Alchornea acutifolia,600,2400,1800
Alchornea bogotensis,400,1700,1300
Alchornea brittonii,0,1600,1600
Alchornea coelophylla,0,1900,1900
Alchornea costaricensis,400,1700,1300
Alchornea floribunda,0,500,500
Alchornea glandulosa,2200,3600,1400
Alchornea grandiflora,600,2700,2100
Alchornea grandis,0,1900,1900
Alchornea latifolia,800,2600,1800
Alchornea megalophylla,100,1000,900
Alchornea pearcei,400,1800,1400
Alchornea triplinervia,1900,3800,1900
Alchornea verticillata,0,1600,1600
Alchorneopsis floribunda,500,3700,3200
Alfaroa colombiana,1200,1600,400
Alfaroa williamsii,400,1300,900
Alibertia bertierifolia,100,700,600
Allomaieta hirsuta,1100,1100,0
Allomaieta pancurana,900,900,0
Allomaieta villosa,900,900,0
Allophylus amazonicus,0,1000,1000
Allophylus edulis,0,2100,2100
Allophylus excelsus,0,2600,2600
Allophylus floribundus,300,2400,2100
Allophylus loretensis,0,1300,1300
Allophylus psilospermus,0,2900,2900
Allophylus punctatus,900,2100,1200
Alnus acuminata,1600,3400,1800
Alseis blackiana,300,600,300
Chrysophyllum venezuelanense,600,2300,1700
Ciliosemina pedunculata,500,2300,1800
Ciliosemina purdieana,400,400,0
Cinchona antioquiae,700,1100,400
Cinchona macrocalyx,0,1200,1200
Cinchona officinalis,0,1700,1700
Cinchona pubescens,2200,3000,800
Cinchonopsis amazonica,0,2000,2000
Cissus trianae,1000,2600,1600
Citharexylum montanum,400,2000,1600
Citronella incarum,400,3000,2600
Citrus X aurantium,0,3000,3000
Citrus limon,0,2500,2500
Clarisia biflora,1300,2800,1500
Clarisia racemosa,800,2300,1500
Clathrotropis brunnea,1400,1400,0
Clavija cauliflora,300,400,100
Clavija mezii,0,800,800
Clethra fagifolia,0,3100,3100
Clethra fimbriata,0,3300,3300
Clethra ovalifolia,1000,1800,800
Clethra revoluta,1200,3100,1900
Clethra scabra,0,2800,2800
Clitoria arborea,200,2000,1800
Clusia alata,200,3000,2800
Clusia articulata,0,3000,3000
Clusia candelabrum,400,1200,800
Clusia colombiana,0,2400,2400
Clusia crenata,0,1800,1800
Clusia cuneifolia,1300,2100,800
Clusia decussata,0,2400,2400
Clusia dixonii,1500,2300,800
Clusia ducu,700,2800,2100
Clusia ducuoides,0,3000,3000
Clusia elliptica,1300,3300,2000
Clusia flavida,1000,2100,1100
Clusia hammeliana,400,2100,1700
Clusia haughtii,300,2400,2100
Clusia hydrogera,1200,2300,1100
Clusia inesiana,1800,2200,400
Clusia lineata,0,2600,2600
Clusia minor,0,2200,2200
Clusia mocoensis,1200,1800,600
Clusia multiflora,800,2900,2100
Clusia octandra,0,1500,1500
Clusia palmicida,0,2200,2200
Clusia penduliflora,0,2200,2200
Clusia pentandra,0,1000,1000
Clusia schomburgkiana,0,2800,2800
Clusia sphaerocarpa,0,3100,3100
Clusia thurifera,200,1700,1500
Clusia trochiformis,600,2900,2300
Clusia volubilis,0,700,700
Coccoloba acuminata,0,700,700
Coccoloba ascendens,0,300,300
Coccoloba coronata,0,1300,1300
Coccoloba densifrons,0,2300,2300
Coccoloba excelsa,0,1000,1000
Coccoloba lehmannii,0,900,900
Coccoloba mollis,1000,2000,1000
Coccoloba obovata,0,1200,1200
Coccoloba padiformis,0,800,800
Cochlospermum orinocense,100,1900,1800
Coffea arabica,1300,2800,1500
Compsoneura anoriensis,500,500,0
Compsoneura claroensis,700,700,0
Compsoneura mutisii,800,2900,2100
Compsoneura rigidifolia,1100,2100,1000
Conceveiba parvifolia,1300,1300,0
Conceveiba pleiostemona,600,1700,1100
Conceveiba terminalis,200,900,700
Condaminea corymbosa,1800,2900,1100
Connarus panamensis,3100,3100,0
Copaifera canime,200,200,0
Copaifera officinalis,100,100,0
Cordia alliodora,1300,3300,2000
Cordia bicolor,200,1900,1700
Cordia bogotensis,0,2400,2400
Cordia dwyeri,500,2000,1500
Cordia nodosa,1200,3400,2200
Cordia panamensis,0,3000,3000
Cordiera myrciifolia,0,900,900
Cornus peruviana,700,2900,2200
Cornutia pyramidata,0,2400,2400
Cosmibuena grandiflora,1000,2300,1300
Couma macrocarpa,400,1200,800
Couratari guianensis,100,1500,1400
Couroupita guianensis,200,3100,2900
Coussapoa contorta,0,3200,3200
Coussapoa crassivenosa,0,1600,1600
Coussapoa herthae,0,1000,1000
Coussapoa villosa,600,2300,1700
Coussarea antioquiana,500,500,0
Coussarea enneantha,1900,1900,0
Coussarea grandifolia,0,1500,1500
Coussarea hirticalyx,0,1300,1300
Coussarea klugii,0,1000,1000
Coussarea latifolia,0,1700,1700
Coussarea macrocalyx,0,1700,1700
Coussarea paniculata,700,2300,1600
Coutarea hexandra,600,3300,2700
Crepidospermum rhoifolium,0,1000,1000
Critoniopsis glandulata,0,1600,1600
Croton argenteus,0,300,300
Croton gossypiifolius,0,2300,2300
Croton killipianus,0,2200,2200
Croton lechleri,0,2200,2200
Croton mutisianus,2100,2500,400
Croton niveus,0,0,0
Croton sampatik,0,1800,1800
Croton schiedeanus,900,1500,600
Croton smithianus,0,2200,2200
Cuatresia cuspidata,0,1700,1700
Cuatresia garciae,400,400,0
Cuatresia riparia,0,2600,2600
Cupania americana,0,2700,2700
Cupania cinerea,700,3400,2700
Cupania latifolia,1200,2500,1300
Cupania livida,0,2200,2200
Cupania rubiginosa,0,200,200
Cupania scrobiculata,200,1900,1700
Curatella americana,100,1900,1800
Cyathea andina,0,2900,2900
Cyathea austropallescens,0,1500,1500
Cyathea bipinnatifida,800,2800,2000
Cyathea brunnescens,0,2100,2100
Cyathea caracasana,0,3000,3000
Cyathea conjugata,600,2000,1400
Cyathea delgadii,1800,2800,1000
Cyathea divergens,0,2200,2200
Cyathea frondosa,0,1500,1500
Cyathea fulva,0,2400,2400
Cyathea kalbreyeri,0,1600,1600
Cyathea lechleri,500,2900,2400
Cyathea lindeniana,0,1700,1700
Cyathea meridensis,800,2500,1700
Cyathea multiflora,600,2000,1400
Cyathea nigripes,600,1500,900
Cyathea pallescens,500,2000,1500
Cyathea pauciflora,0,2500,2500
Cyathea pilosissima,1200,2800,1600
Cyathea planadae,0,1200,1200
Cyathea pungens,1200,1600,400
Cyathea squamipes,1700,2800,1100
Cyathea straminea,0,1000,1000
Cyathea suprastrigosa,400,400,0
Cybianthus humilis,1500,1900,400
Cybianthus iteoides,1700,2500,800
Cybianthus laurifolius,1900,2700,800
Cybianthus marginatus,800,2700,1900
Cybianthus pastensis,600,2600,2000
Cybianthus poeppigii,0,2300,2300
Cybianthus schlimii,0,1900,1900
Cybianthus venezuelanus,1200,2500,1300
Cymbopetalum sanchezii,100,100,0
Cynometra bauhiniifolia,0,300,300
Cynophalla flexuosa,200,2100,1900
Dacryodes acuptipyrena,0,0,0
Dacryodes belemensis,0,1300,1300
Dacryodes peruviana,200,1400,1200
Delostoma integrifolium,1400,2400,1000
Dendrobangia boliviana,0,1600,1600
Dendropanax arboreus,1700,3200,1500
Dendropanax caucanus,0,2600,2600
Dendropanax cuneatus,100,1300,1200
Dendropanax macrophyllus,500,1700,1200
Dialium guianense,300,900,600
Dicksonia karsteniana,0,3000,3000
Dicksonia sellowiana,1200,2700,1500
Dictyocaryum lamarckianum,0,2000,2000
Dieffenbachia seguine,0,2000,2000
Dilodendron costaricense,300,1300,1000
Dimorphandra macrostachya,100,1100,1000
Dioicodendron dioicum,0,2800,2800
Diospyros artanthifolia,100,1000,900
Discophora guianensis,900,1600,700
Doliocarpus dentatus,800,2800,2000
Drimys granadensis,900,2600,1700
Duguetia antioquensis,1100,1100,0
Duguetia caniflora,0,0,0
Duguetia colombiana,100,100,0
Duguetia gentryi,200,200,0
Duguetia hadrantha,0,700,700
Dunalia solanacea,1900,2300,400
Duroia hirsuta,500,1300,800
Dussia lehmannii,2100,2200,100
Dussia macroprophyllata,0,2400,2400
Dussia tessmannii,100,2200,2100
Dystovomita paniculata,300,2000,1700
Ecclinusa lanceolata,200,1200,1000
Ecclinusa ramiflora,200,800,600
Elaeagia ecuadorensis,0,1200,1200
Elaeagia karstenii,0,2300,2300
Elaeagia mariae,1600,2400,800
Elaeagia myriantha,500,2300,1800
Elaeagia pastoensis,900,2000,1100
Elaeagia utilis,1500,2000,500
Endlicheria formosa,0,2100,2100
Endlicheria gracilis,0,1200,1200
Endlicheria griseo-sericea,800,2000,1200
Endlicheria griseosericea,800,2000,1200
Endlicheria metallica,900,2000,1100
Endlicheria pyriformis,300,1600,1300
Endlicheria sericea,0,2100,2100
Endlicheria tschudyana,0,200,200
Entada gigas,600,1400,800
Enterolobium cyclocarpum,0,2000,2000
Enterolobium schomburgkii,0,700,700
Eriotheca globosa,0,900,900
Erythrina berteroana,0,1400,1400
Erythrina edulis,2000,3300,1300
Erythrina poeppigiana,1300,2300,1000
Erythroxylum citrifolium,0,2300,2300
Erythroxylum gracilipes,0,2000,2000
Erythroxylum havanense,200,200,0
Erythroxylum hondense,900,1200,300
Erythroxylum macrophyllum,0,2200,2200
Erythroxylum oxycarpum,600,600,0
Escallonia myrtilloides,1800,3600,1800
Escallonia paniculata,0,3200,3200
Escallonia pendula,800,2700,1900
Eschweilera albiflora,100,1200,1100
Eschweilera antioquensis,0,2400,2400
Eschweilera bogotensis,200,1600,1400
Eschweilera bracteosa,0,500,500
Eschweilera caudiculata,500,3200,2700
Eschweilera coriacea,600,2000,1400
Eschweilera microcalyx,200,200,0
Eschweilera panamensis,0,600,600
Eschweilera sessilis,100,1800,1700
Eschweilera tenax,0,0,0
Eugenia anastomosans,0,1900,1900
Eugenia biflora,500,2000,1500
Eugenia dittocrepis,900,1900,1000
Eugenia egensis,600,2100,1500
Eugenia feijoi,300,1900,1600
Eugenia florida,500,3100,2600
Eugenia limbosa,0,1700,1700
Eugenia oerstediana,0,1100,1100
Eugenia rhombea,0,0,0
Eugenia tamaensis,0,500,500
Eugenia uniflora,600,2100,1500
Euphorbia arenaria,0,2100,2100
Euplassa duquei,0,2400,2400
Euterpe precatoria,1300,2300,1000
Faramea anisocalyx,100,2700,2600
Faramea calyptrata,0,1600,1600
Faramea capillipes,600,1200,600
Faramea cuspidata,1700,2100,400
Faramea eurycarpa,0,2500,2500
Faramea fragrans,200,1900,1700
Faramea jasminoides,900,2800,1900
Faramea multiflora,1700,2900,1200
Faramea oblongifolia,500,2400,1900
Faramea occidentalis,700,2500,1800
Faramea parvibractea,0,1300,1300
Faramea quinqueflora,0,2700,2700
Ferdinandusa loretensis,0,900,900
Ficus americana,1600,3800,2200
Ficus apollinaris,400,1800,1400
Ficus brevibracteata,100,2000,1900
Ficus carchiana,0,1000,1000
Ficus cervantesiana,0,2200,2200
Ficus citrifolia,600,3200,2600
Ficus coerulescens,0,1600,1600
Ficus crassiuscula,0,1100,1100
Ficus crocata,0,1600,1600
Ficus cuatrecasana,0,2500,2500
Ficus cuatrecasasiana,300,2400,2100
Ficus donnell-smithii,300,3400,3100
Ficus dulciaria,300,1200,900
Ficus eliadis,0,0,0
Ficus eximia,0,1700,1700
Ficus gigantosyce,700,2700,2000
Ficus gomelleira,400,2200,1800
Ficus guianensis,0,2600,2600
Ficus hartwegii,700,2800,2100
Ficus insipida,800,2900,2100
Ficus krukovii,0,1900,1900
Ficus lacunata,300,900,600
Ficus macbridei,100,1600,1500
Ficus mathewsii,0,1600,1600
Ficus maxima,0,3400,3400
Ficus mutisii,0,2100,2100
Ficus obtusifolia,800,1900,1100
Ficus pallida,0,3200,3200
Ficus paraensis,800,1700,900
Ficus pertusa,700,2000,1300
Ficus popenoei,0,300,300
Ficus schippii,1000,1900,900
Ficus tonduzii,1000,2900,1900
Ficus tovarensis,600,600,0
Ficus trianae,0,1100,1100
Ficus trigona,0,2800,2800
Ficus velutina,1900,2400,500
Frangula goudotiana,1600,2100,500
Frangula granulosa,100,1900,1800
Frangula sphaerosperma,800,3300,2500
Freziera candicans,900,1400,500
Freziera canescens,900,3200,2300
Freziera chrysophylla,0,1500,1500
Freziera karsteniana,0,1700,1700
Freziera punctata,700,1200,500
Freziera reticulata,0,1800,1800
Freziera verrucosa,0,2500,2500
Fusaea longifolia,100,1900,1800
Gaiadendron punctatum,2200,3700,1500
Garcinia intermedia,800,1900,1100
Garcinia macrophylla,900,1800,900
Garcinia madruno,1100,2500,1400
Geissanthus ambigua,800,2800,2000
Geissanthus andinus,1100,1700,600
Alsophila cuspidata,1200,1900,700
Alsophila engelii,0,1600,1600
Alsophila erinacea,1500,2400,900
Alsophila incana,0,1400,1400
Alzatea verticillata,200,2100,1900
Amaioua guianensis,400,1600,1200
Ampelocera edentula,0,1500,1500
Ampelocera longissima,0,1100,1100
Ampelocera macrocarpa,500,500,0
Amphirrhox longifolia,0,700,700
Amyris ignea,0,0,0
Amyris pinnata,1100,1200,100
Amyris sylvatica,700,1100,400
Anacardium excelsum,0,2400,2400
Anacardium giganteum,0,600,600
Anacardium occidentale,0,1300,1300
Anadenanthera colubrina,0,2200,2200
Anadenanthera columbrina,0,2200,2200
Anaxagorea brevipes,0,1000,1000
Andira chigorodensis,0,900,900
Andira inermis,200,2000,1800
Andira surinamensis,200,700,500
Andira taurotesticulata,0,1800,1800
Aniba canelilla,600,800,200
Aniba coto,100,2100,2000
Aniba hostmanniana,0,2000,2000
Aniba muca,1600,2700,1100
Aniba panurensis,200,2900,2700
Aniba perutilis,400,2900,2500
Aniba puchury-minor,100,3400,3300
Aniba riparia,0,2100,2100
Aniba robusta,0,2100,2100
Annona amazonica,0,700,700
Annona cherimola,400,2700,2300
Annona cuspidata,0,1700,1700
Geissanthus betancurii,1400,1400,0
Geissanthus bogotensis,0,2200,2200
Geissanthus ecuadorensis,0,2000,2000
Geissanthus fragrans,0,600,600
Geissanthus longistamineus,100,2800,2700
Geissanthus occidentalis,0,2400,2400
Genipa americana,500,2200,1700
Geonoma deversa,600,2500,1900
Geonoma orbignyana,1900,3100,1200
Geonoma undata,1300,3100,1800
Gloeospermum longifolium,500,2100,1600
Gloeospermum sphaerocarpum,900,1900,1000
Glossoloma tetragonoides,300,2700,2400
Godmania aesculifolia,0,3100,3100
Gonzalagunia cornifolia,0,3100,3100
Gonzalagunia dicocca,0,1600,1600
Gordonia fruticosa,1400,3300,1900
Gordonia robusta,1700,1700,0
Goupia glabra,0,800,800
Graffenrieda cucullata,1100,2300,1200
Graffenrieda emarginata,200,2300,2100
Graffenrieda galeottii,0,1700,1700
Graffenrieda gracilis,1000,1800,800
Graffenrieda intermedia,0,1600,1600
Graffenrieda latifolia,0,2100,2100
Graffenrieda micrantha,300,300,0
Graffenrieda santamartensis,700,700,0
Grias haughtii,500,1200,700
Guapira costaricana,1500,1700,200
Guapira pubescens,1100,1100,0
Guarea cartaguenya,100,1600,1500
Guarea glabra,1000,2100,1100
Guarea grandifolia,0,2300,2300
Guarea guidonia,1300,2200,900
Guarea kunthiana,2100,3000,900
Guarea macrophylla,1100,2400,1300
Guarea pterorhachis,800,1700,900
Guarea purusana,0,1800,1800
Guarea pyriformis,0,900,900
Guarea silvatica,0,1400,1400
Guatteria aberrans,800,800,0
Guatteria amplifolia,1800,2500,700
Guatteria asplundiana,1800,1900,100
Guatteria blepharophylla,700,1900,1200
Guatteria cargadero,0,2200,2200
Guatteria cestrifolia,200,1700,1500
Guatteria columbiana,1700,1700,0
Guatteria glauca,500,2700,2200
Guatteria goudotiana,800,2300,1500
Guatteria hirsuta,1600,2100,500
Guatteria hyposericea,0,200,200
Guatteria laurina,1800,1800,0
Guatteria megalophylla,600,2000,1400
Guatteria pittieri,500,1700,1200
Guatteria punctata,1700,2200,500
Guatteria recurvisepala,0,2600,2600
Guatteria schomburgkiana,100,700,600
Guazuma ulmifolia,1300,3400,2100
Guettarda aromatica,0,1800,1800
Guettarda crispiflora,1100,3200,2100
Guettarda dependens,600,2700,2100
Guettarda malacophylla,0,400,400
Guettarda roupalifolia,0,1700,1700
Guettarda sanblasensis,0,600,600
Guettarda tournefortiopsis,0,1900,1900
Gustavia dubia,800,800,0
Gustavia hexapetala,100,1500,1400
Gustavia nana,0,500,500
Gustavia poeppigiana,0,900,900
Gustavia romeroi,0,700,700
Gustavia speciosa,200,1300,1100
Gustavia superba,0,1700,1700
Gyrocarpus americanus,1200,1200,0
Handroanthus chrysanthus,0,2300,2300
Handroanthus impetiginosus,0,1600,1600
Handroanthus obscurus,0,200,200
Handroanthus ochraceus,0,2100,2100
Handroanthus serratifolius,700,1100,400
Hasseltia floribunda,1600,2400,800
Hasseltia lateriflora,0,500,500
Haydenoxylon gentryi,1400,1800,400
Hebeclinium phoenicticum,1400,1400,0
Hebepetalum humiriifolium,0,800,800
Hedyosmum angustifolium,0,2700,2700
Hedyosmum bonplandianum,2500,2800,300
Hedyosmum crenatum,1600,2100,500
Hedyosmum cuatrecazanum,700,3100,2400
Hedyosmum cumbalense,1000,3200,2200
Hedyosmum gentryi,200,1100,900
Hedyosmum goudotianum,800,2700,1900
Hedyosmum luteynii,0,3100,3100
Hedyosmum maximum,0,1800,1800
Hedyosmum parvifolium,800,1100,300
Hedyosmum racemosum,2100,3300,1200
Hedyosmum scaberrimum,0,1900,1900
Hedyosmum scabrum,0,2400,2400
Hedyosmum sprucei,600,2700,2100
Hedyosmum translucidum,300,1900,1600
Heisteria acuminata,900,3100,2200
Heisteria latifolia,600,1600,1000
Heisteria nitida,0,1500,1500
Heliconia nigripraefixa,600,900,300
Helicostylis scabra,0,900,900
Helicostylis tomentosa,600,2400,1800
Helicostylis tovarensis,800,2000,1200
Helicteres baruensis,1200,1900,700
Heliocarpus americanus,400,2900,2500
Henriettea fissanthera,0,1700,1700
Henriettea trachyphylla,1600,1700,100
Henriettea verrucosa,0,1400,1400
Hernandia didymantha,0,300,300
Herrania balaensis,0,700,700
Herrania laciniifolia,300,300,0
Herrania purpurea,0,200,200
Hesperomeles ferruginea,1700,3700,2000
Hesperomeles goudotiana,1200,1400,200
Hesperomeles obtusifolia,1500,3400,1900
Heteropterys laurifolia,300,1600,1300
Hevea guianensis,500,3000,2500
Hieronyma alchorneoides,2000,2400,400
Hieronyma antioquensis,500,800,300
Hieronyma asperifolia,500,2000,1500
Hieronyma duquei,300,2500,2200
Hieronyma fendleri,500,3000,2500
Hieronyma huilensis,1900,2500,600
Hieronyma macrocarpa,0,2500,2500
Hieronyma oblonga,2000,2800,800
Hieronyma rufa,400,500,100
Hieronyma scabrida,500,1300,800
Hillia parasitica,500,2400,1900
Himatanthus articulatus,500,1200,700
Hippotis albiflora,0,1800,1800
Hippotis brevipes,0,2100,2100
Hirtella bicornis,0,900,900
Hirtella eriandra,0,600,600
Hirtella mutisii,400,1600,1200
Hirtella pilosissima,0,1300,1300
Hirtella racemosa,400,1300,900
Hirtella triandra,400,2500,2100
Hirtella tubiflora,0,1000,1000
Hoffmannia longipetiolata,0,2500,2500
Hortia brasiliana,0,1200,1200
Huberodendron patinoi,400,1000,600
Huertea glandulosa,0,2300,2300
Huertea granadina,1000,1000,0
Humiriastrum colombianum,0,500,500
Hura crepitans,500,2700,2200
Hymenaea courbaril,600,1900,1300
Hymenaea oblongifolia,300,1100,800
Hymenopus heteromorphus,0,1400,1400
Hyospathe elegans,400,2700,2300
Hyptidendron arboreum,0,1600,1600
Ilex andicola,0,1600,1600
Ilex colombiana,0,400,400
Ilex danielis,400,1100,700
Ilex goudotii,600,1200,600
Ilex guayusa,0,2800,2800
Ilex karstenii,0,400,400
Ilex laurina,0,2700,2700
Ilex myricoides,100,1600,1500
Ilex nervosa,700,1900,1200
Ilex pernervata,1500,1900,400
Ilex pustulosa,0,500,500
Ilex sessiliflora,500,1100,600
Inga acreana,1100,2200,1100
Inga acrocephala,1300,2500,1200
Inga acuminata,300,2400,2100
Inga alba,700,1700,1000
Inga bourgonii,600,2000,1400
Inga capitata,400,2600,2200
Inga chartacea,300,2100,1800
Inga cinnamomea,0,1600,1600
Inga cocleensis,0,2800,2800
Inga coruscans,100,2400,2300
Inga densiflora,200,3400,3200
Inga edulis,400,2600,2200
Inga fendleriana,0,1600,1600
Inga heterophylla,800,1800,1000
Inga lallensis,200,2900,2700
Inga laurina,0,2100,2100
Inga lopadadenia,0,1100,1100
Inga macrophylla,0,1800,1800
Inga marginata,1400,2700,1300
Inga mucuna,0,2300,2300
Inga multijuga,1300,2100,800
Inga multinervis,0,1600,1600
Inga nobilis,2000,2400,400
Inga oerstediana,1400,2400,1000
Inga pezizifera,300,1700,1400
Inga pruriens,0,700,700
Inga punctata,1300,2900,1600
Inga ruiziana,1300,3000,1700
Inga sapindoides,600,2300,1700
Inga sertulifera,0,1600,1600
Inga setosa,100,2000,1900
Inga sierrae,0,1600,1600
Inga spectabilis,0,2100,2100
Inga stenoptera,200,2700,2500
Inga striata,800,2700,1900
Inga thibaudiana,1000,1800,800
Inga tomentosa,0,2200,2200
Inga umbellifera,400,2700,2300
