species,min_elevation,max_elevation,range
Inga velutina,400,1900,1500
Inga venusta,0,1700,1700
Inga vera,0,3000,3000
Inga villosissima,0,2000,2000
Iriartea deltoidea,1200,2600,1400
Iryanthera hostmannii,300,800,500
Iryanthera juruensis,100,1300,1200
Iryanthera paraensis,200,1700,1500
Iryanthera ulei,0,1200,1200
Isertia laevis,900,2400,1500
Isidodendron tripterocarpum,100,100,0
Jacaranda caucana,2000,3000,1000
Jacaranda copaia,500,2300,1800
Jacaranda glabra,0,2400,2400
Jacaranda hesperia,0,1100,1100
Jacaranda mimosifolia,300,1800,1500
Jacaranda obtusifolia,100,1000,900
Jacaratia chocoensis,0,600,600
Jacaratia digitata,600,2100,1500
Joosia umbellifera,0,2000,2000
Juglans neotropica,700,2900,2200
Klarobelia anomala,0,300,300
Lacistema aggregatum,0,2000,2000
Lacistema nena,0,1100,1100
Lacmellea edulis,0,1600,1600
Lacunaria crenata,200,1300,1100
Ladenbergia macrocarpa,0,2800,2800
Ladenbergia macrophylla,0,200,200
Ladenbergia magdalenae,1500,1500,0
Ladenbergia moritziana,0,0,0
Ladenbergia muzonensis,0,1900,1900
Ladenbergia oblongifolia,1900,3100,1200
Lafoensia acuminata,0,2500,2500
Lecointea amazonica,0,1000,1000
Lecythis ampla,0,1400,1400
Lecythis mesophylla,800,800,0
Lecythis minor,0,200,200
Lecythis tuyrana,200,500,300
Leonia glycycarpa,700,1900,1200
Leonia occidentalis,100,900,800
Leonia triandra,0,2800,2800
Leucaena trichodes,200,3100,2900
Licania canescens,0,500,500
Licania harlingii,0,900,900
Licania hypoleuca,200,900,700
Licania micrantha,100,1200,1100
Licania octandra,0,800,800
Licaria applanata,1300,1900,600
Licaria canella,1200,2700,1500
Licaria cannella,1200,2700,1500
Licaria triandra,800,2100,1300
Ligustrum lucidum,0,3200,3200
Lindackeria laurina,500,1000,500
Lindackeria paludosa,400,1800,1400
Lippia americana,0,1200,1200
Lippia hirsuta,0,3200,3200
Lonchocarpus macrophyllus,800,1400,600
Lonchocarpus sericeus,0,1200,1200
Lonchocarpus velutinus,2000,2000,0
Lozanella enantiophylla,800,2400,1600
Lozania mutisiana,500,2700,2200
Luehea seemannii,0,2100,2100
Lunania parviflora,500,2300,1800
Lycianthes inaequilatera,1300,2900,1600
Lycianthes pauciflora,1700,2200,500
Mabea occidentalis,300,2000,1700
Mabea trianae,600,1500,900
Machaerium acutifolium,0,1500,1500
Machaerium biovulatum,0,1300,1300
Machaerium capote,900,1100,200
Machaerium floribundum,200,1400,1200
Machaerium hirtum,0,1800,1800
Machaerium lanceolatum,600,600,0
Machaerium moritzianum,1200,1200,0
Machaerium mutisii,0,600,600
Macleania rupestris,0,3600,3600
Maclura tinctoria,1300,3600,2300
Macrocarpaea glabra,1400,1900,500
Macrocarpaea macrophylla,2200,3100,900
Macrocnemum grandiflorum,0,300,300
Macrocnemum roseum,1400,2400,1000
Macrohasseltia macroterantha,400,400,0
Macrolobium colombianum,700,2000,1300
Macrolobium gracile,100,1500,1400
Macrolobium pittieri,500,500,0
Magnolia cespedesii,0,0,0
Magnolia chimantensis,300,300,0
Magnolia espinalii,700,700,0
Magnolia silvioi,900,900,0
Magnolia urraoensis,1100,1100,0
Magnolia yarumalensis,2400,2400,0
Malmea dimera,0,0,0
Malouetia guatemalensis,500,500,0
Malpighia glabra,200,2000,1800
Manilkara bidentata,700,1800,1100
Manilkara chicle,100,100,0
Maprounea guianensis,700,1200,500
Maquira calophylla,0,2100,2100
Maquira guianensis,0,2700,2700
Marcgraviastrum macrocarpum,0,1600,1600
Margaritaria nobilis,1000,2600,1600
Marila geminata,600,600,0
Marila laxiflora,600,2300,1700
Marila podantha,0,1000,1000
Matayba adenanthera,100,1200,1100
Matayba arborescens,0,2300,2300
Matayba camptoneura,0,1700,1700
Matayba elegans,0,2400,2400
Matayba guianensis,0,1900,1900
Matayba peruviana,0,1700,1700
Matayba purgans,200,1600,1400
Matayba scrobiculata,200,600,400
Matisia castano,200,1600,1400
Matisia cornu-copiae,0,1900,1900
Matisia floccosa,0,1800,1800
Matisia idroboi,0,1700,1700
Matudaea colombiana,200,1000,800
Mauria ferruginea,0,2600,2600
Mauria heterophylla,0,3000,3000
Mauria simplicifolia,0,3000,3000
Mauritia flexuosa,0,2000,2000
Mayna grandifolia,0,1400,1400
Mayna odorata,1100,1700,600
Mayna suaveolens,0,200,200
Maytenus longipes,700,700,0
Maytenus verticillata,0,2300,2300
Melicoccus bijugatus,700,1500,800
Melicoccus oliviformis,0,300,300
Meliosma bogotana,0,1300,1300
Meliosma echeverryana,0,1300,1300
Meliosma frondosa,800,2900,2100
Meliosma glossophylla,0,1700,1700
Meliosma occidentalis,400,1900,1500
Annona edulis,200,1500,1300
Annona hypoglauca,0,500,500
Annona jahnii,0,500,500
Annona montana,200,1700,1500
Annona mucosa,1300,2500,1200
Annona muricata,1000,3400,2400
Annona papilionella,700,1700,1000
Annona quinduensis,500,2400,1900
Annona rensoniana,0,1800,1800
Aparisthmium cordatum,1000,2000,1000
Apeiba glabra,0,1100,1100
Apeiba membranacea,500,1100,600
Apeiba tibourbou,200,800,600
Aphelandra glabrata,0,1900,1900
Aphelandra lasiophylla,300,300,0
Aphelandra pulcherrima,0,1200,1200
Aphelandra runcinata,2000,2700,700
Aphelandra scolnikiae,700,700,0
Aptandra tubicina,0,800,800
Arachnothryx colombiana,700,2300,1600
Aralia excelsa,0,500,500
Ardisia foetida,2400,3000,600
Ardisia guianensis,500,2300,1800
Aspidosperma cruentum,0,100,100
Aspidosperma cuspa,0,900,900
Aspidosperma desmanthum,300,1900,1600
Aspidosperma excelsum,400,1600,1200
Aspidosperma megalocarpon,0,1200,1200
Aspidosperma parvifolium,0,1600,1600
Aspidosperma polyneuron,0,2200,2200
Aspidosperma spruceanum,400,1400,1000
Astrocaryum malybo,2000,2000,0
Astrocaryum triandrum,200,200,0
Astronium graveolens,600,1500,900
Astronium lecointei,0,1300,1300
Meliosma schlimii,0,1300,1300
Meliosma vasquezii,0,1700,1700
Meliosma violacea,2000,2200,200
Meriania albertiae,1300,1300,0
Meriania brachycera,1400,2100,700
Meriania grandidens,400,2100,1700
Meriania longifolia,1600,2500,900
Meriania mutisii,300,700,400
Meriania nobilis,800,2800,2000
Meriania quintuplinervis,700,1600,900
Meriania tomentosa,500,2100,1600
Miconia acanthocoryne,1300,1300,0
Miconia acutifolia,100,500,400
Miconia adinantha,0,700,700
Miconia affinis,600,3000,2400
Miconia albicans,100,2000,1900
Miconia alternans,0,1600,1600
Miconia aponeura,200,2900,2700
Miconia asperrima,300,2100,1800
Miconia astroplocama,300,1800,1500
Miconia biappendiculata,400,3100,2700
Miconia biglandulosa,0,2800,2800
Miconia brachycalyx,1200,3000,1800
Miconia bracteolata,200,2300,2100
Miconia brevitheca,1800,3300,1500
Miconia caesia,1400,2400,1000
Miconia calophylla,0,600,600
Miconia calvescens,900,3100,2200
Miconia caudata,0,2600,2600
Miconia centrodesma,500,3600,3100
Miconia chlorocarpa,0,1200,1200
Miconia chrysophylla,500,1800,1300
Miconia cladonia,1400,1800,400
Miconia clathrantha,0,2000,2000
Miconia costaricensis,700,1700,1000
Miconia crassinervia,0,800,800
Miconia cundinamarcensis,1200,1500,300
Miconia decurrens,500,1300,800
Miconia denticulata,0,1400,1400
Miconia divergens,400,900,500
Miconia dodecandra,700,1800,1100
Miconia dolichopoda,1600,2800,1200
Miconia dolichorrhyncha,1300,2500,1200
Miconia donaeana,100,700,600
Miconia elata,0,3400,3400
Miconia elongata,0,2500,2500
Miconia floribunda,200,2100,1900
Miconia fragrans,0,1500,1500
Miconia goniostigma,1200,2800,1600
Miconia gracilis,1400,1900,500
Miconia ibaguensis,0,2600,2600
Miconia incachacana,100,1300,1200
Miconia jahnii,1500,2700,1200
Miconia laetivirens,900,1500,600
Miconia lamprophylla,0,1900,1900
Miconia latifolia,0,3700,3700
Miconia lehmannii,2300,3100,800
Miconia ligustrina,900,3400,2500
Miconia lonchophylla,2000,2500,500
Miconia longifolia,0,2700,2700
Miconia matthaei,400,1300,900
Miconia microcarpa,0,0,0
Miconia micropetala,0,2100,2100
Miconia minutiflora,100,1900,1800
Miconia mirabilis,0,1700,1700
Miconia multiplinervia,0,3000,3000
Miconia myriantha,100,1100,1000
Miconia myrtillifolia,1100,2100,1000
Miconia notabilis,100,2400,2300
Miconia ochracea,500,2800,2300
Miconia orcheotoma,0,2000,2000
Miconia orescia,1800,2600,800
Miconia plena,100,1400,1300
Miconia poeppigii,200,2400,2200
Miconia prasina,800,3400,2600
Miconia pterocaulon,0,1300,1300
Miconia punctata,1800,2700,900
Miconia pustulata,1000,1500,500
Miconia quintuplinervia,200,1800,1600
Miconia reducens,0,2200,2200
Miconia resima,1800,2600,800
Miconia rivetii,0,2100,2100
Miconia rupticalyx,0,1300,1300
Miconia sandemanii,1000,1000,0
Miconia serrulata,300,2400,2100
Miconia smaragdina,1800,2600,800
Miconia spicellata,1200,1500,300
Miconia splendens,700,3700,3000
Miconia superposita,200,500,300
Miconia ternatifolia,300,2200,1900
Miconia theizans,1300,3300,2000
Miconia tinifolia,1600,2400,800
Miconia tonduzii,700,1200,500
Miconia trinervia,0,2500,2500
Miconia voronovii,0,0,0
Miconia wurdackii,1100,1300,200
Micropholis egensis,0,1000,1000
Micropholis guyanensis,900,2000,1100
Micropholis melinoniana,0,1600,1600
Micropholis venulosa,1100,1900,800
Minquartia guianensis,600,2700,2100
Mollinedia killipii,900,1700,800
Mollinedia lanceolata,0,2400,2400
Mollinedia minutiflora,700,700,0
Mollinedia ovata,1600,2600,1000
Mollinedia repanda,1200,3000,1800
Mollinedia tomentosa,0,2300,2300
Monnina aestuans,1400,2500,1100
Morella parvifolia,0,3500,3500
Morella pubescens,1100,3600,2500
Morisonia americana,700,2100,1400
Morisonia oblongifolia,0,1100,1100
Morus alba,0,2400,2400
Mosannona hypoglauca,100,100,0
Mouriri nigra,0,1000,1000
Moutabea gentryi,0,700,700
Muntingia calabura,300,3300,3000
Myrcia cucullata,1700,2200,500
Myrcia minutiflora,0,200,200
Myrcia mollis,0,2500,2500
Myrcia neesiana,0,2100,2100
Myrcia paivae,1000,3400,2400
Myrcia paive,1000,3400,2400
Myrcia popayanensis,1800,1900,100
Myrcia splendens,2300,2900,600
Myrcia sylvatica,600,2100,1500
Myrcianthes karsteniana,0,0,0
Myrcianthes myrsinoides,100,3200,3100
Myrcianthes orthostemon,0,2800,2800
Myrcianthes rhopaloides,1000,2500,1500
Myriocarpa stipitata,400,2800,2400
Myroxylon balsamum,0,1600,1600
Myrsine andina,700,3100,2400
Myrsine coriacea,0,3300,3300
Myrsine dependens,1600,2600,1000
Myrsine guianensis,600,3300,2700
Myrsine latifolia,2100,3000,900
Myrsine oligophylla,0,1800,1800
Myrsine pellucida,2500,3300,800
Myrsine pellucidopunctata,1600,3100,1500
Naucleopsis capirensis,1700,1800,100
Naucleopsis glabra,0,2100,2100
Naucleopsis naga,0,1900,1900
Naucleopsis ulei,100,1500,1400
Nectandra acutifolia,1500,2800,1300
Nectandra cissiflora,0,2500,2500
Nectandra cuspidata,1100,2300,1200
Nectandra laurel,1300,2200,900
Nectandra lineata,0,2600,2600
Nectandra lineatifolia,0,2800,2800
Nectandra longifolia,0,1800,1800
Nectandra membranacea,0,2800,2800
Nectandra obtusata,0,3100,3100
Nectandra reticulata,2100,3300,1200
Neea amplifolia,0,1800,1800
Neea divaricata,700,1900,1200
Neea floribunda,400,1700,1300
Neea macrophylla,800,1800,1000
Neea ovalifolia,100,1800,1700
Neea parviflora,500,1700,1200
Neea spruceana,1000,1400,400
Neea virens,0,1400,1400
Norantea guianensis,400,1900,1500
Notopleura macrophylla,1900,2900,1000
Notopleura siggersiana,300,2900,2600
Ochroma pyramidale,1200,3200,2000
Ocotea aciphylla,1800,2800,1000
Ocotea arnottiana,0,1000,1000
Ocotea benthamiana,100,1300,1200
Ocotea bofo,200,2300,2100
Ocotea cernua,800,2800,2000
Ocotea costulata,300,2000,1700
Ocotea floribunda,1200,3000,1800
Ocotea guianensis,700,3300,2600
Ocotea infrafoveolata,0,2400,2400
Ocotea insularis,500,2900,2400
Ocotea javitensis,0,2300,2300
Ocotea jelskii,0,1200,1200
Ocotea leucoxylon,0,2400,2400
Ocotea longifolia,1400,2800,1400
Ocotea macropoda,1500,2100,600
Ocotea micans,0,1800,1800
Ocotea multinervis,0,300,300
Ocotea oblonga,1300,3000,1700
Ocotea olivacea,0,1700,1700
Ocotea pacifica,0,2200,2200
Ocotea pichinchensis,0,200,200
Ocotea puberula,500,2800,2300
Ocotea rufa,300,1100,800
Ocotea sericea,0,2200,2200
Ocotea smithiana,1000,1600,600
Ocotea terciopelo,800,800,0
Ocotea tessmannii,700,2000,1300
Oenocarpus bacaba,0,400,400
Oenocarpus bataua,700,1300,600
Oenocarpus mapora,700,3500,2800
Oenocarpus minor,0,2300,2300
Olmedia aspera,1300,3000,1700
Oreopanax albanensis,0,1100,1100
Oreopanax bogotensis,1400,1900,500
Oreopanax capitatus,0,3000,3000
Oreopanax discolor,1600,2000,400
Oreopanax incisus,0,2200,2200
Oreopanax microflorous,0,2200,2200
Oreopanax palamophyllus,400,2100,1700
Oreopanax seemannianus,0,1800,1800
Ormosia antioquensis,1300,1300,0
Ormosia cuatrecasasii,1200,1200,0
Orthaea glandulifera,0,1100,1100
Ossaea micrantha,0,3500,3500
Osteophloeum platyspermum,600,1300,700
Otoba acuminata,0,0,0
Otoba gordoniifolia,900,2100,1200
Otoba novogranatensis,1600,1900,300
Otoba parvifolia,100,2400,2300
Ouratea amplifolia,200,1100,900
Ouratea pendula,0,500,500
Ouratea rubricyanea,400,400,0
Oxandra espintana,0,900,900
Oxandra longipetala,0,200,200
Oxandra panamensis,0,400,400
Oxandra polyantha,0,2000,2000
Oxandra venezuelana,700,700,0
Pachira mutisiana,200,200,0
Pachira sessilis,300,300,0
Palicourea acetosoides,1900,2300,400
Palicourea amethystina,1100,2700,1600
Palicourea andaluciana,0,2500,2500
Palicourea andrei,0,1700,1700
Palicourea angustifolia,400,3200,2800
Palicourea apicata,300,2100,1800
Palicourea calophlebia,900,1400,500
Palicourea cogolloi,1700,1700,0
Palicourea demissa,1400,2900,1500
Palicourea garciae,300,3200,2900
Palicourea guianensis,1600,3400,1800
Palicourea latifolia,200,2100,1900
Palicourea leuconeura,0,1600,1600
Palicourea luteonivea,0,2300,2300
Palicourea lyristipula,400,3000,2600
Palicourea obovata,1400,3200,1800
Palicourea palenquensis,0,1900,1900
Palicourea perquadrangularis,1400,2400,1000
Palicourea pyramidalis,1300,2500,1200
Palicourea rigidifolia,0,2200,2200
Palicourea schlimii,500,500,0
Palicourea stipularis,700,3100,2400
Palicourea sulphurea,400,3200,2800
Palicourea thyrsiflora,2300,2800,500
Palicourea weberbaueri,700,2300,1600
Panopsis metcalfii,700,800,100
Panopsis mucronata,300,1500,1200
Panopsis polystachya,0,2100,2100
Panopsis rubescens,0,2600,2600
Panopsis suaveolens,0,2800,2800
Panopsis yolombo,700,2200,1500
Paragynoxys corei,1200,1200,0
Parathesis adenanthera,300,1700,1400
Parinari pachyphylla,0,300,300
Passiflora arborea,400,2600,2200
Passiflora macrophylla,1100,1800,700
Paullinia capreolata,200,1900,1700
Pausandra trianae,0,700,700
Peltogyne paniculata,0,1000,1000
Peltogyne purpurea,500,500,0
Pentacalia disciformis,0,1200,1200
Pentacalia theifolia,1300,2300,1000
Pentagonia grandiflora,0,1500,1500
Pentagonia macrophylla,0,2600,2600
Peperomia elongata,0,2800,2800
Pera arborea,0,1300,1300
Pera colombiana,2000,2000,0
Pera glabrata,0,1200,1200
Perebea angustifolia,900,1800,900
Perebea guianensis,1100,2000,900
Perebea xanthochyma,800,1900,1100
Perissocarpa steyermarkii,700,1500,800
Perrottetia gentryi,0,1800,1800
Perrottetia sessiliflora,400,1900,1500
Persea americana,500,3300,2800
Persea areolatocostae,1300,2600,1300
Persea caerulea,1500,3100,1600
Persea chrysophylla,0,1000,1000
Persea cuneata,0,1700,1700
Persea ferruginea,100,1900,1800
Persea mutisii,100,2000,1900
Persea povedae,0,700,700
Persea pseudofasciculata,0,2000,2000
Persea rigens,1700,2000,300
Persea subcordata,400,2300,1900
Petrea pubescens,0,3700,3700
Phenakospermum guyannense,0,1300,1300
Pholidostachys dactyloides,700,1400,700
Phyllanthus acuminatus,1100,2600,1500
Phyllanthus attenuatus,1300,2600,1300
Phyllanthus brasiliensis,100,3500,3400
Phytolacca dioica,0,2200,2200
Picramnia latifolia,500,2400,1900
Picramnia sellowii,1100,2800,1700
Picrolemma huberi,0,2000,2000
Pinus patula,700,1900,1200
Piper adenandrum,2100,2100,0
Axinaea colombiana,0,300,300
Axinaea lehmannii,1300,1700,400
Axinaea macrophylla,1300,2300,1000
Axinaea pennellii,300,900,600
Axinaea scutigera,0,1800,1800
Baccharis brachylaenoides,800,2500,1700
Baccharis latifolia,700,3600,2900
Baccharis oblongifolia,1300,3000,1700
Bactris barronis,600,600,0
Bactris gasipaes,200,2000,1800
Bactris maraja,100,1100,1000
Bactris pilosa,700,700,0
Bactris setulosa,100,2000,1900
Banara glauca,0,1400,1400
Banara guianensis,1500,2900,1400
Banara ibaguensis,200,2200,2000
Barnadesia parviflora,600,2300,1700
Batocarpus costaricensis,0,1100,1100
Bauhinia picta,100,2300,2200
Bauhinia tarapotensis,0,1400,1400
Beilschmiedia alloiophylla,0,2100,2100
Beilschmiedia costaricensis,0,2500,2500
Beilschmiedia latifolia,0,2200,2200
Beilschmiedia pendula,400,1500,1100
Beilschmiedia sulcata,0,1200,1200
Beilschmiedia tovarensis,900,2700,1800
Bejaria aestuans,900,3400,2500
Bejaria resinosa,0,3300,3300
Bellucia grossularioides,0,1900,1900
Bellucia pentamera,900,2400,1500
Bertiera angustifolia,0,2200,2200
Besleria formosa,1700,2600,900
Billia rosea,2400,3700,1300
Blakea cuatrecasii,1100,1500,400
Blakea holtonii,300,1100,800
Piper aduncum,1000,3100,2100
Piper amalago,500,2300,1800
Piper andreanum,0,1900,1900
Piper arboreum,1000,2400,1400
Piper archeri,900,2100,1200
Piper artanthe,0,3100,3100
Piper augustum,900,3100,2200
Piper barbatum,200,2900,2700
Piper carpunya,0,2600,2600
Piper cernuum,1200,2200,1000
Piper crassinervium,1200,3100,1900
Piper daniel-gonzalezii,800,900,100
Piper divulgatum,0,1300,1300
Piper glanduligerum,600,2100,1500
Piper gorgonillense,1100,1500,400
Piper grande,100,2200,2100
Piper imperiale,1600,2800,1200
Piper lacunosum,400,2600,2200
Piper longispicum,1100,1400,300
Piper marequitense,200,1600,1400
Piper munchanum,1200,2200,1000
Piper nubigenum,500,3000,2500
Piper obliquum,700,2600,1900
Piper phytolaccifolium,0,2600,2600
Piper reticulatum,0,1300,1300
Piper scobinifolium,500,800,300
Piper tuberculatum,500,2100,1600
Piptadenia uliginosa,1800,1800,0
Piptocoma discolor,0,3100,3100
Pisonia aculeata,0,1000,1000
Pithecellobium dulce,1300,1500,200
Platymiscium darienense,0,1400,1400
Platymiscium hebestachyum,300,1800,1500
Platymiscium pinnatum,0,2300,2300
Platymiscium stipulare,100,1700,1600
Platypodium elegans,0,2200,2200
Pleuranthodendron lindenii,300,1100,800
Pleurothyrium cuneifolium,800,2200,1400
Pleurothyrium glabritepalum,100,1300,1200
Pleurothyrium trianae,600,2100,1500
Plumeria rubra,0,2400,2400
Podocarpus guatemalensis,800,1700,900
Podocarpus magnifolius,300,1700,1400
Podocarpus oleifolius,1600,3300,1700
Poeppigia procera,0,400,400
Pogonopus speciosus,0,2500,2500
Pogonopus tubulosus,0,2300,2300
Polybotrya polybotryoides,0,2000,2000
Posoqueria chocoana,0,1300,1300
Posoqueria coriacea,1900,3200,1300
Posoqueria latifolia,300,2700,2400
Potalia amara,500,1100,600
Poulsenia armata,800,1900,1100
Pourouma bicolor,700,1700,1000
Pourouma cecropiifolia,900,2000,1100
Pourouma guianensis,200,1700,1500
Pourouma hirsutipetiolata,400,1000,600
Pourouma melinonii,0,1700,1700
Pourouma minor,700,3000,2300
Pourouma mollis,0,1800,1800
Pouteria baehniana,1000,2100,1100
Pouteria bangii,0,1800,1800
Pouteria bilocularis,0,1700,1700
Pouteria caimito,1000,2400,1400
Pouteria cuspidata,800,1500,700
Pouteria durlandii,0,1300,1300
Pouteria glomerata,0,1400,1400
Pouteria guianensis,0,0,0
Pouteria lucuma,1400,2400,1000
Pouteria multiflora,0,1800,1800
Pouteria reticulata,100,1100,1000
Pouteria sapota,0,1400,1400
Pouteria stipitata,200,200,0
Pouteria subrotata,0,900,900
Pouteria torta,1400,3900,2500
Pouteria trilocularis,600,1700,1100
Pradosia colombiana,600,600,0
Praecereus euchlorus,0,1400,1400
Prestoea acuminata,1500,2500,1000
Prestoea decurrens,800,1500,700
Prestoea ensiformis,0,2100,2100
Prionostemma asperum,300,600,300
Protium altsonii,0,3300,3300
Protium amazonicum,0,1200,1200
Protium amplum,0,1600,1600
Protium apiculatum,100,1700,1600
Protium aracouchini,600,1400,800
Protium colombianum,0,2000,2000
Protium cundinamarcense,0,0,0
Protium cuneatum,0,200,200
Protium divaricatum,100,1300,1200
Protium ecuadorense,800,1700,900
Protium glabrescens,0,2000,2000
Protium guianense,0,900,900
Protium hebetatum,200,3400,3200
Protium laxiflorum,0,500,500
Protium macrophyllum,0,800,800
Protium opacum,0,1600,1600
Protium panamense,300,300,0
Protium sagotianum,0,1000,1000
Protium spruceanum,100,1300,1200
Protium subserratum,800,1200,400
Protium tenuifolium,300,1600,1300
